player,team,opponent,game,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
Wilyer Abreu,BOS,ATH,ATH@BOS,14.0,0.147,90,4,129,0,20,4.47,9,Fenway weather but softer ISO
Jarren Duran,BOS,ATH,ATH@BOS,13.3,0.219,89,6,105,0,20,4.47,9,Fenway weather with moderate hitter profile
Randal Grichuk,CWS,CLE,CLE@CWS,15.4,0.214,89,3,70,0,5,5.34,12,Positive Rate Field day and pitcher HR split
Munetaka Murakami,CWS,CLE,CLE@CWS,17.6,0.393,95,3,28,0,5,5.66,3,Strong power but not as loud as 8/8
Colson Montgomery,CWS,CLE,CLE@CWS,12.5,0.308,86,1,26,0,5,5.66,3,ISO support but EV lower
Rhys Hoskins,CLE,CWS,CLE@CWS,14.1,0.196,89,5,102,37.5,5,3.14,3,Decent sheet but pitcher split not major
Angel Martinez,CLE,CWS,CLE@CWS,12.5,0.260,87,5,77,31.2,5,5.36,7,Moderate LHH support
Alec Burleson,STL,COL,COL@STL,12.2,0.212,92,6,151,0,2,8.84,12,Pitcher LHH split support; park mildly positive
Jordan Walker,STL,COL,COL@STL,0,0,0,0,0,25,2,3.9,5,EV notes support but no full sheet line
Willie Castro,COL,STL,COL@STL,14.1,0.226,90,7,133,36.4,2,7.09,10,Good sheet vs McGreevy split
Hunter Goodman,COL,STL,COL@STL,0,0,0,0,0,22.2,2,8.18,6,EV note only; not a core sheet leg
Wyatt Langford,TEX,BAL,BAL@TEX,14.8,0.214,90,2,42,0,-11,5.26,1,Park downgrade and moderate profile
Jake Burger,TEX,BAL,BAL@TEX,14.0,0.190,89,3,63,22.2,-11,5.26,1,Park downgrade
Corey Seager,TEX,BAL,BAL@TEX,10.3,0.159,93,2,44,0,-11,8.57,3,Park downgrade despite LHH split
Pete Alonso,BAL,TEX,BAL@TEX,0,0,0,0,0,0,-11,3.11,5,EV notes only, park downgrade
Coby Mayo,BAL,TEX,BAL@TEX,0,0,0,0,0,50,-11,3.11,5,EV note only, park downgrade
Owen Caissie,MIA,LAA,LAA@MIA,22.0,0.311,90,7,90,37.5,-13,6.6,5,Strong sheet bat in bad HR park
Griffin Conine,MIA,LAA,LAA@MIA,18.8,0.358,92,6,53,0,-13,6.6,5,Strong sheet bat in bad HR park
Mike Trout,LAA,MIA,LAA@MIA,18.0,0.233,91,10,163,25,-13,7.04,2,Good hitter but loanDepot suppresses
Zach Neto,LAA,MIA,LAA@MIA,14.3,0.260,89,12,18,44.4,-13,7.04,2,Tiny sample plus bad HR park
